"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 08 13:19:10 GMT 2024","Tue Oct 08 13:19:14 GMT 2024","3778","Test-3","","","","","Login - Valid Credentails - Success",""
"passed","Tue Oct 08 13:19:10 GMT 2024","Tue Oct 08 13:19:26 GMT 2024","15498","Test-1","","","","","Complete Order - Empty Form Fields - Fail",""
"passed","Tue Oct 08 13:19:19 GMT 2024","Tue Oct 08 13:19:28 GMT 2024","9439","Test-5","","","","","Sorting - By Name & Price - Success",""
"passed","Tue Oct 08 13:19:25 GMT 2024","Tue Oct 08 13:19:35 GMT 2024","9486","Test-7","","","","","Check Complete Order Elements - Valid Order - Success",""
"passed","Tue Oct 08 13:19:15 GMT 2024","Tue Oct 08 13:19:18 GMT 2024","3800","Test-4","","","","","Login - Invalid Credentails - Fail",""
"passed","Tue Oct 08 13:19:20 GMT 2024","Tue Oct 08 13:19:25 GMT 2024","4477","Test-6","","","","","Logout - Already Logged In - Success",""
"passed","Tue Oct 08 13:19:10 GMT 2024","Tue Oct 08 13:19:20 GMT 2024","9453","Test-2","","","","","Complete Order - Two Random Products - Success",""
"passed","Tue Oct 08 13:19:26 GMT 2024","Tue Oct 08 13:19:35 GMT 2024","8767","Test-8","","","","","Check Order Overview Elements - Valid Order - Success",""
