"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 21 11:32:26 GMT 2024","Mon Oct 21 11:32:29 GMT 2024","3855","Test-4","","","","","Login - Invalid Credentails - Fail",""
"passed","Mon Oct 21 11:32:21 GMT 2024","Mon Oct 21 11:32:37 GMT 2024","16093","Test-1","","","","","Complete Order - Empty Form Fields - Fail",""
"passed","Mon Oct 21 11:32:30 GMT 2024","Mon Oct 21 11:32:40 GMT 2024","9606","Test-5","","","","","Sorting - By Name & Price - Success",""
"passed","Mon Oct 21 11:32:37 GMT 2024","Mon Oct 21 11:32:47 GMT 2024","9280","Test-7","","","","","Check Complete Order Elements - Valid Order - Success",""
"passed","Mon Oct 21 11:32:32 GMT 2024","Mon Oct 21 11:32:37 GMT 2024","4558","Test-6","","","","","Logout - Already Logged In - Success",""
"passed","Mon Oct 21 11:32:38 GMT 2024","Mon Oct 21 11:32:47 GMT 2024","8601","Test-8","","","","","Check Order Overview Elements - Valid Order - Success",""
"passed","Mon Oct 21 11:32:21 GMT 2024","Mon Oct 21 11:32:31 GMT 2024","9520","Test-2","","","","","Complete Order - Two Random Products - Success",""
"passed","Mon Oct 21 11:32:21 GMT 2024","Mon Oct 21 11:32:25 GMT 2024","3869","Test-3","","","","","Login - Valid Credentails - Success",""
