"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 16 07:21:29 GMT 2024","Wed Oct 16 07:21:38 GMT 2024","9254","Test-8","","","","","Check Order Overview Elements - Valid Order - Success",""
"passed","Wed Oct 16 07:21:13 GMT 2024","Wed Oct 16 07:21:29 GMT 2024","15660","Test-1","","","","","Complete Order - Empty Form Fields - Fail",""
"passed","Wed Oct 16 07:21:13 GMT 2024","Wed Oct 16 07:21:17 GMT 2024","3961","Test-3","","","","","Login - Valid Credentails - Success",""
"passed","Wed Oct 16 07:21:23 GMT 2024","Wed Oct 16 07:21:28 GMT 2024","4503","Test-6","","","","","Logout - Already Logged In - Success",""
"passed","Wed Oct 16 07:21:28 GMT 2024","Wed Oct 16 07:21:37 GMT 2024","9247","Test-7","","","","","Check Complete Order Elements - Valid Order - Success",""
"passed","Wed Oct 16 07:21:13 GMT 2024","Wed Oct 16 07:21:23 GMT 2024","9601","Test-2","","","","","Complete Order - Two Random Products - Success",""
"passed","Wed Oct 16 07:21:22 GMT 2024","Wed Oct 16 07:21:32 GMT 2024","9425","Test-5","","","","","Sorting - By Name & Price - Success",""
"passed","Wed Oct 16 07:21:17 GMT 2024","Wed Oct 16 07:21:22 GMT 2024","4348","Test-4","","","","","Login - Invalid Credentails - Fail",""
